nodes,gamma,tours,rnf_cost,rnf_time,heur_cost,heur_time
15,50,1,3887.6428571428573,0.043000221252441406,3887.642857142857,117.06199145317078
15,50,2,6986.785714285714,0.8350000381469727,7077.785714285714,186.79700183868408
15,50,6,19550.357030341514,3.368000030517578,19680.857142857145,373.41360783576965
15,100,1,3848.1428571428573,0.09000015258789062,3872.642857142857,57.84413123130798
15,100,2,6947.285714285715,1.187999963760376,7057.785714285715,102.28965711593628
15,100,6,19313.85714285714,9.535999774932861,19781.857142857145,394.3569321632385
15,200,1,3498.1428571428573,0.3810000419616699,3498.1428571428573,93.04199290275574
15,200,2,6501.285609355825,2.36299991607666,6501.285714285715,143.30872321128845
15,200,6,18642.857142857145,121.09400010108948,18796.857142857145,277.2670006752014
15,300,1,3317.1428571428573,0.8229999542236328,3317.1428571428573,85.30209922790527
15,300,2,6230.785714285715,4.63100004196167,6597.285714285715,147.83281779289246
15,300,6,18225.857142857145,32.693000078201294,19037.857142857145,216.37866854667664
50,50,1,5691.642857142857,0.09000015258789062,5744.142857142857,117.54417133331299
50,50,2,8225.785707541203,1.5410001277923584,8289.285714285714,322.4724600315094
50,50,6,19003.35714285714,40.2739999294281,19075.857142857134,745.4645481109619
50,100,1,5465.642857142857,0.7539999485015869,5465.642857142857,118.99899530410767
50,100,2,7999.784668118514,2.6059999465942383,7999.785714285714,207.4543116092682
50,100,6,18641.85714285714,210.59899997711182,18661.857142857138,579.1439256668091
50,200,1,4940.642857142857,2.6599998474121094,4961.642857142857,89.7940502166748
50,200,2,7479.785714285714,21.800999879837036,7495.785714285714,202.8899347782135
50,200,6,17883.85714285714,62.51200008392334,17904.857142857134,465.6815128326416
50,300,1,4925.642857142857,3.6690001487731934,4925.642857142857,104.79798984527588
50,300,2,7464.785714285714,64.01199984550476,7516.785714285714,155.81489944458008
50,300,6,17873.85714285714,196.4079999923706,18072.857142857138,367.9856159687042
100,50,1,7104.928550058027,2.371999979019165,7428.9285714285725,224.89127039909363
100,50,2,9586.357142857143,142.8619999885559,10014.857142857143,378.8043944835663
100,50,6,20459.07142857143,10800.266999959946,20692.07142857143,1636.908494234085
100,100,1,5748.428533962144,4.42300009727478,6385.4285714285725,84.66680407524109
100,100,2,8374.857142857143,245.9430000782013,9044.857142857143,214.20170950889587
100,100,6,19307.570641441474,10800.156999826431,19953.07142857143,709.4230871200562
100,200,1,5069.9285704252625,55.72000002861023,5429.4285714285725,85.58596158027649
100,200,2,7705.857142857143,2572.7960000038147,8075.857142857143,188.56371688842773
100,200,6,18433.569337378576,10800.508999824524,19058.57142857143,461.8461112976074
100,300,1,4315.9285704252625,202.43799996376038,4829.428571428572,101.7939305305481
100,300,2,6937.857142857143,10800.272000074387,7484.357142857143,198.0467987060547
100,300,6,17514.07142857143,10800.853000164032,18233.57142857143,634.80779337883
